t,B8,AI4,PI4,B6B9B3,AI3,TI3,B6B9B3_B38,AI3_2,PI3,B31B32,AI2,TI2,B7,A_hinge,T_hinge,B64,B44B48
0,0,0.05,0,0,0.05,0.05,1,0.05,0,1,0.05,0.05,0,0.05,0,0,0
0.05,0,0.0466979558734344,0.00330204412656557,0,0.0466979558734344,0.05,0,0.0824406228849672,0.00170740120447196,0,0.0956752950883943,0.05,0,0.0466979558734344,0.00330204412656557,0,0
0.1,1,0.0436139816551446,0.00616794843657969,0,0.0436139816551446,0.0497819300917243,0,0.079625438508743,0.00446428120323554,1,0.083821188876111,0.0556591390573185,0,0.0436139816551446,0.00616794843657969,0,1
0.15,0,0.106774558347246,0.00864091751763051,0,0.0407336758159344,0.0493745933335649,0,0.0769063871164143,0.00703088621349414,1,0.197335141735854,0.0591483985301965,0,0.0407336758159344,0.00864091751763051,0,1
0.2,0,0.0997230722821026,0.015121749764029,0,0.0380435879163058,0.0488039395148203,0,0.0742801859565312,0.00941699650158869,1,0.296784790403671,0.0762696452384086,0,0.0380435879163058,0.0107603515985146,0,1
0.25,0,0.0931372725798588,0.0207088957664387,0,0.0355311557956554,0.0480933163989072,0,0.0717436643771196,0.0116319462576139,1,0.38391269293009,0.10359132686783,0,0.0355311557956554,0.0125621606032518,0,1
0.3,0,0.0869864049021256,0.0254921296915073,0,0.0331846469095528,0.0472637002261684,0,0.0692937599977051,0.0136846426560164,1,0.460245505567865,0.138322959979641,0,0.0331846469095528,0.0140790533166156,0,1
0.35,0,0.0812417459541633,0.0295532658970399,0,0.030993103541156,0.0463339071199337,0,0.0669275150120556,0.0155835841345928,1,0.527120732862899,0.178208951906875,0,0.030993103541156,0.0153408035787777,0,1
0.4,0,0.0758764693529657,0.0329668187367144,0,0.0289462916309137,0.0453207869128517,0,0.0646420726171776,0.0173368779230429,1,0.585710163426462,0.221438892366932,0,0.0289462916309137,0.016374495281938,0,1
0.45,0,0.0708655203535359,0.0358006099325219,0,0.0270346529855995,0.0442394007934278,0,0.062434673564255,0.0189522568510138,1,0.637040402030638,0.266571863561153,0,0.0270346529855995,0.0172047478078283,0,1
0.5,0,0.0661854988483477,0.038116327562607,0,0.0252492606435027,0.0431031840644701,0,0.0603026528273665,0.0204370954644046,1,0.682010857790626,0.312472672116478,0,0.0252492606435027,0.0178539234209674,0,1
0.55,0,0.0618145500936278,0.0399700404062399,0,0.0235817771873427,0.041924095205103,0,0.0582434363859605,0.021798425477574,1,0.721409503623076,0.358258210571611,0,0.0235817771873427,0.0183423180177603,0,1
0.6,0,0.0577322626521686,0.0414126711044588,0,0.0220244158102339,0.0407127523355401,0,0.056254538117201,0.0230429505880134,1,0.755926683117884,0.403252417226347,0,0.0220244158102339,0.0186883365253063,0,1
